airport_name;arr_flights
Sioux City, IA: Sioux Gateway Brig Gen Bud Day Field;1434
Sitka, AK: Sitka Rocky Gutierrez;1425
Worcester, MA: Worcester Regional;1375
Columbus, GA: Columbus Airport;1354
Hays, KS: Hays Regional;1349
Wichita Falls, TX: Sheppard AFB/Wichita Falls Municipal;1340
Texarkana, AR: Texarkana Regional-Webb Field;1328
Columbus, MS: Golden Triangle Regional;1319
Paducah, KY: Barkley Regional;1309
Hayden, CO: Yampa Valley;1303
Erie, PA: Erie International/Tom Ridge Field;1279
Stockton, CA: Stockton Metropolitan;1214
Casper, WY: Casper/Natrona County International;1212
Latrobe, PA: Arnold Palmer Regional;1201
Grand Island, NE: Central Nebraska Regional;1196
Nantucket, MA: Nantucket Memorial;1195
Pocatello, ID: Pocatello Regional;1177
Pellston, MI: Pellston Regional Airport of Emmet County;1158
Dubuque, IA: Dubuque Regional;1134
New Haven, CT: Tweed New Haven;1125
Twin Falls, ID: Joslin Field - Magic Valley Regional;1122
Brunswick, GA: Brunswick Golden Isles;1120
Valdosta, GA: Valdosta Regional;1116
Columbus, OH: Rickenbacker International;1106
Belleville, IL: Scott AFB/MidAmerica;1091
Albany, GA: Southwest Georgia Regional;1085
Beaumont/Port Arthur, TX: Jack Brooks Regional;1070
Jamestown, ND: Jamestown Regional;1069
Deadhorse, AK: Deadhorse Airport;1066
Ithaca/Cortland, NY: Ithaca Tompkins Regional;1051
Lewiston, ID: Lewiston Nez Perce County;1050
Longview, TX: East Texas Regional;1041
Lynchburg, VA: Lynchburg Regional/Preston Glenn Field;1039
Binghamton, NY: Greater Binghamton/Edwin A. Link Field;1011
Salina, KS: Salina Regional;1011
Meridian, MS: Key Field;1003
Pueblo, CO: Pueblo Memorial;989
Christiansted, VI: Henry E. Rohlsen;985
Cape Girardeau, MO: Cape Girardeau Regional;979
Niagara Falls, NY: Niagara Falls International;938
Stillwater, OK: Stillwater Regional;931
Clarksburg/Fairmont, WV: North Central West Virginia;925
Elmira/Corning, NY: Elmira/Corning Regional;924
Guam, TT: Guam International;913
Bethel, AK: Bethel Airport;892
Ponce, PR: Mercedita;886
Rhinelander, WI: Rhinelander/Oneida County;864
Hobbs, NM: Lea County Regional;856
Gillette, WY: Gillette Campbell County;837
Staunton, VA: Shenandoah Valley Regional;829
Rockford, IL: Chicago/Rockford International;828
Provo, UT: Provo Municipal;812
Cedar City, UT: Cedar City Regional;812
Aberdeen, SD: Aberdeen Regional;809
Kearney, NE: Kearney Regional;802
Bemidji, MN: Bemidji Regional;800
Prescott, AZ: Prescott Regional Ernest A Love Field;797
Barrow, AK: Wiley Post/Will Rogers Memorial;786
Hancock/Houghton, MI: Houghton County Memorial;785
