airport_name
Hilo, HI: Hilo International
Pago Pago, TT: Pago Pago International
Abilene, TX: Abilene Regional
Waco, TX: Waco Regional
Waterloo, IA: Waterloo Regional
Kalamazoo, MI: Kalamazoo/Battle Creek International
Beaumont/Port Arthur, TX: Jack Brooks Regional
Champaign/Urbana, IL: University of Illinois/Willard
Dubuque, IA: Dubuque Regional
Del Rio, TX: Del Rio International
Garden City, KS: Garden City Regional
Longview, TX: East Texas Regional
Lawton/Fort Sill, OK: Lawton-Fort Sill Regional
La Crosse, WI: La Crosse Regional
Manhattan/Ft. Riley, KS: Manhattan Regional
Marquette, MI: Sawyer International
San Angelo, TX: San Angelo Regional/Mathis Field
Wichita Falls, TX: Sheppard AFB/Wichita Falls Municipal
Sioux City, IA: Sioux Gateway Brig Gen Bud Day Field
Stillwater, OK: Stillwater Regional
Texarkana, AR: Texarkana Regional-Webb Field
Tyler, TX: Tyler Pounds Regional
Atlantic City, NJ: Atlantic City International
Latrobe, PA: Arnold Palmer Regional
Watertown, NY: Watertown International
New Haven, CT: Tweed New Haven
Ithaca/Cortland, NY: Ithaca Tompkins Regional
Lynchburg, VA: Lynchburg Regional/Preston Glenn Field
Aberdeen, SD: Aberdeen Regional
Albany, GA: Southwest Georgia Regional
Arcata/Eureka, CA: California Redwood Coast Humboldt County
Alpena, MI: Alpena County Regional
Aspen, CO: Aspen Pitkin County Sardy Field
Scottsbluff, NE: Western Neb. Regional/William B. Heilig Field
Bakersfield, CA: Meadows Field
Binghamton, NY: Greater Binghamton/Edwin A. Link Field
Bemidji, MN: Bemidji Regional
Brunswick, GA: Brunswick Golden Isles
Brainerd, MN: Brainerd Lakes Regional
Butte, MT: Bert Mooney
Cedar City, UT: Cedar City Regional
Cape Girardeau, MO: Cape Girardeau Regional
Sault Ste. Marie, MI: Chippewa County International
Hancock/Houghton, MI: Houghton County Memorial
Moab, UT: Canyonlands Field
Cody, WY: Yellowstone Regional
Casper, WY: Casper/Natrona County International
Cheyenne, WY: Cheyenne Regional/Jerry Olson Field
Dothan, AL: Dothan Regional
Duluth, MN: Duluth International
Durango, CO: Durango La Plata County
Devils Lake, ND: Devils Lake Regional
Kearney, NE: Kearney Regional
Eau Claire, WI: Chippewa Valley Regional
Elko, NV: Elko Regional
Erie, PA: Erie International/Tom Ridge Field
Escanaba, MI: Delta County
Flagstaff, AZ: Flagstaff Pulliam
Gillette, WY: Gillette Campbell County
Hibbing, MN: Range Regional
Helena, MT: Helena Regional
Hays, KS: Hays Regional
Iron Mountain/Kingsfd, MI: Ford
International Falls, MN: Falls International Einarson Field
Williston, ND: Sloulin Field International
Joplin, MO: Joplin Regional
Jamestown, ND: Jamestown Regional
Laramie, WY: Laramie Regional
North Platte, NE: North Platte Regional Airport Lee Bird Field
Liberal, KS: Liberal Mid-America Regional
Lewisburg, WV: Greenbrier Valley
Lewiston, ID: Lewiston Nez Perce County
Meridian, MS: Key Field
Muskegon, MI: Muskegon County
Mammoth Lakes, CA: Mammoth Lakes Airport
North Bend/Coos Bay, OR: Southwest Oregon Regional
Paducah, KY: Barkley Regional
Hattiesburg/Laurel, MS: Hattiesburg-Laurel Regional
Pocatello, ID: Pocatello Regional
Pellston, MI: Pellston Regional Airport of Emmet County
Prescott, AZ: Prescott Regional Ernest A Love Field
Pueblo, CO: Pueblo Memorial
Redding, CA: Redding Municipal
Bend/Redmond, OR: Roberts Field
Rhinelander, WI: Rhinelander/Oneida County
Rock Springs, WY: Southwest Wyoming Regional
Roswell, NM: Roswell International Air Center
Santa Fe, NM: Santa Fe Municipal
San Luis Obispo, CA: San Luis County Regional
Staunton, VA: Shenandoah Valley Regional
Salina, KS: Salina Regional
Santa Rosa, CA: Charles M. Schulz - Sonoma County
Sun Valley/Hailey/Ketchum, ID: Friedman Memorial
Twin Falls, ID: Joslin Field - Magic Valley Regional
Quincy, IL: Quincy Regional-Baldwin Field
Vernal, UT: Vernal Regional
Valdosta, GA: Valdosta Regional
Yuma, AZ: Yuma MCAS/Yuma International
Guam, TT: Guam International
Saipan, TT: Francisco C. Ada Saipan International
Hilton Head, SC: Hilton Head Airport
Everett, WA: Snohomish County
Branson, MO: Branson Airport
Watertown, SD: Watertown Regional
Pierre, SD: Pierre Regional
Mobile, AL: Mobile Downtown
West Yellowstone, MT: Yellowstone
Nantucket, MA: Nantucket Memorial
Martha's Vineyard, MA: Martha's Vineyard Airport
King Salmon, AK: King Salmon Airport
Dillingham, AK: Dillingham Airport
Gustavus, AK: Gustavus Airport
Hyannis, MA: Barnstable Municipal-Boardman/Polando Field
Greenville, NC: Pitt Greenville
Williston, ND: Williston Basin International
Riverton/Lander, WY: Riverton Regional
Sheridan, WY: Sheridan County
Dodge City, KS: Dodge City Regional
